Čas;Přepsaný text;Extrahovaná data;JSON Text
2026-01-14 14:50:55;Titulky vytvořil JohnyX.;;
2026-01-14 14:51:03;Titulky vytvořil JohnyX.;;
2026-01-14 14:51:11;Titulky vytvořil JohnyX.;;
2026-01-14 14:51:19;Titulky vytvořil JohnyX.;;
2026-01-14 14:51:27;Přistupujeme, koukáme se, jestli někde nějaký nebezpečí můžeme přijít.;{'polozky': {'Nebezpečí': 'Kontrola'}};
2026-01-14 14:51:35;že někde nějaký nebezpečí můžeme přijít. Tak jsme v rukavicích, nandáváme si rukavice. Dobrý den pane, slyšíte mě? Jsme záhradná spousta. Pane?;;Přistupujeme, koukáme se, jestli někde nějaké nebezbečí. Můžeme přijít. Tak, jsme v rukavicích. Nandaváme si rukavice. Dobrý den pane, slyšíte mě? Jsme záchranná služba.
2026-01-14 14:51:44;Pane, slyšíte mě? Zkouším bolestivý podměr. OK, reaguje. Má zavřený oči.;{'polozky': {'AVPU': 'Pain'}};Pane? Slyšíte mě? Zkouším bolestivý podnět. Jo okej, reaguje.
2026-01-14 14:51:52;Má zavřený oči. Hele, dalo bych ho... Může teď kopřené ostrovce vypoložit? Pane, slyšíte mě? Zatřesu za ramena.;{'polozky': {'Hlava - Oči': 'Zavřené'}};Nasazuji manžetu. Má zavřený oči. Chceme ho položit? Pane, slyšíte mě?
2026-01-14 14:52:00;Zatřesu za ramena. Pane, halo, slyšíte mě? Nic. Za ty ramena, bolestivý podnět na ramena. OK, takže na bolestivý podnět reaguje, ale...;{'polozky': {'Bolest (VAS/NRS)': 'Bolest na ramena'}};Zatřesu za ramena. Pane halo, slyšíte mě? Za ty ramena, bolestivý podnět na ramena.
2026-01-14 14:52:08;že na můj svět ne reaguje, ale jinak to vedli. Tak, je to úplná s těma těma.;;Okej na bolestivý podnět reaguje. Ale jinak je v bezvědomí.
2026-01-14 14:52:16;Tak když se koukám na hlavu, pohlad hlavy, nějaké traumahlavy vidím,;{'polozky': {'Nynější onemocnění (NO)': 'Trauma hlavy'}};Tak, když se koukám na hlavu. Pohmat hlavu nějaké trauma hlavy vidím? Nevidím.
2026-01-14 14:52:24;Nějaké traumahlavy vidím? Nic nevidím. Hele má tlak 74 na 50. Kolik má? 74 na 50. Dobře.;{'polozky': {'Krevní tlak': '74/50'}};Tlak 74 na 50.
2026-01-14 14:52:32;Dobře, nasazujeme elektrody, dáme se tu rádku.;{'polozky': {'EKG': 'Nasazení elektrod'}};Kolik má? 74 na 50 Dobře. Nasazujeme elektrody.
2026-01-14 14:52:40;Chceš ho z toho stromu dát? Protože sedí. Určitě. Já bych ho asi položila.;;Nasazujeme elektrody. Dáme saturátko. Chceš ho z toho stromu dát pryč? Protože sedí. Chceme si ho, chceme si dát na...
2026-01-14 14:52:48;Tak to tady teďka za to. Tak koukám se, jestli...;;Určitě. Já bych ho asi položila. Dobře okej, ee eee, uděláme to a pak položíme
2026-01-14 14:52:57;Koukám se, jestli... Já se tím zjistím, že půjde. Slyšela jsi mě? Já si ťákuji.;;Dobře tak ho tady teďka zato Tak koukám se jestli.... Já zatím zajistím žilku jo?
2026-01-14 14:53:05;Slyšel jsi mě? Mě slyšel? Eee, zjistil jsem. Ano, jasný. Poslouchám srdce, nevím jestli slyším na tvým úrovni, ale jsem na tvém slyšel.;;Slyšelas mě? Povídej. zajistím žilku jasný Poslouchám srdce. Nevím, jestli na figuríně slyším to, co normálně slyším?
2026-01-14 14:53:13;můžeme tady výborně do teda dvanou sesion.;;
2026-01-14 14:53:21;Zatím se vám představíme, že se vám představíme, že se vám představíme.;;
2026-01-14 14:53:29;Mám zavědano tady? OK, super. Tady bude centrálně? Jo, protože to tady nasečení.;;Mám zavedenou kanylu. Okej super Tepe mi cenrálně? Jo, to tady neslyším
2026-01-14 14:53:37;Takže pacientu peccentrálně. Tenhle pět, z toho ještě slabej. Z toho ještě udělám ty genetika, můžu poprosit?;;Takže pacient tepe centrálně A ten tep je, silnej, slabej?
2026-01-14 14:53:45;Můžu poprosit? Osm a půl. Osm a půl. Necháte mi zvukat? Jste pověděli, jak to je? Počkejte, že ještě. Poslouchám plíce.;{'polozky': {'Poslech – plíce': ''}};A teď ještě udělám gylmču, teďka, můžu poprosit? 8,5 8,5
2026-01-14 14:53:54;Tak poslouchám plíce. Čistý skrypkový dýchání. Všude? Všude. Všude čistý skrypkový dýchání, dobře.;{'polozky': {'Poslech – plíce': 'Čistý skrypkový dýchání'}};Počkej ještě. Polouchám plíce, čistý sklípkový dýchání. Všude, všude, všude. Takže čistý sklípkový dýchání, dobře
2026-01-14 14:54:02;Dobře. Hrudník se mi zvedá symetricky. Dobře. Dýchací frekvence, tak jak to je nastavení? Můžu poprosit dvanáctku?;{'polozky': {'Symetrie dýchání': 'Symetrické', 'EKG': 'Požadována'}};Hrudník se mi zvedá symetricky? Ano. Dobře
2026-01-14 14:54:10;Můžu poprosit dvanáctku? Máme elektrody, tak... Máme elektrody? Eee... Mám rozpyknout nebo? Tak, jak to vypadá?;;Dýchací frekvence, tak jak je to nastavený? Můžu poprosit dvanáctku? Eeee. mám rozkliknout nebo? Tak jak to vypadá teda? Saturace? Tohle je to ekg? Vidíš něco extra... a tadyto teda. Chcem si ho položit? Nebude vadit, když ho položíme
2026-01-14 14:54:18;Tak, jak to vyfará teda? Co teda se tady máme? OK, tohle je EKG, jo? OK, tohle je natáčenové.;{'polozky': {'EKG': 'Prováděno'}};
2026-01-14 14:54:26;Máme tak jednou. Mítiš něco extra, co ti bude do očí? Ne, ne, ne, jsem tady nebojena. Tady je to nějaký, vidíš to?;;
2026-01-14 14:54:34;Takže jako vidíš to? Tohle není úplně... Chcem si ho položit, protože opět mám do této typologie. Chcem si ho položit.;;
2026-01-14 14:54:42;Neuděláme objekt do školy, položíme. 93, dáme kyslík. Dobře, dáme různý kovo masku.;{'polozky': {'SpO2': '93', 'Oxygenoterapie': 'dána'}};93, dáváme kyslík. Dáváme kyslík?Jo, rozhodně.Dobře. Dáváme kyslíkovou masku.Zaváděme kyslíkovou masku.
2026-01-14 14:54:50;Zavádím kistíkovou masku. Prutoxerum. Vykapat něco? Klaštou. Kolik má?;{'polozky': {'Oxygenoterapie': 'Zaváděna'}};Tak, průtok 7 litrů za minutu.Vykapat něco?Klaštou? Dvěstě pade? Jo určitě vykapat.
2026-01-14 14:54:59;Kolik má? 45? Jo určitě, vykapa. Mně ještě chceme podat infuzi sloznové v dvěstěpade. Zatím.;;Ještě chceme podat infuzi plasmalyte, dvě stě pade. dvě stě pade, nechci žádnou testovku.Já se trošku bojím, ale týkám se.Dobře, tak dáváme dvě stě pade, kapat infuzi.
2026-01-14 14:55:07;250 nechci žádný tistovku. Já si trošku bojím, ale ty... Dobře, tak dáváme 250 kapat infuzi. To děláme.;;
2026-01-14 14:55:15;To děláme. Střední prouz. Asi bych ho položila takhle, tak bych si to musela nějak odhledat. Pane, slyšíte mě? Zkouším balestí výpodně znova.;;To děláme.Dobře, střední prouz.Hele, asi bych ho položila, protože mi takhle v to, tak kdybych si musela nějakým potahem.Pane, slyšíte mě? Zkouším balestí výpodně znova hrudní kost.
2026-01-14 14:55:23;Zkouším balistivý podně, znova hrubý kost. Nereaguje. Tep centrálně. Má chod. OK, 45 až 44.;{'polozky': {'Centrální pulz (a. carotis)': ''}};Nereaguje.Tep centrálně? Má furt. OK, 45 a 44. Chci si ho dát do...
2026-01-14 14:55:31;OK, 45 a 44. Chci si ho dát do... ...počkej si zatnout. Tak.;;Trošku si zapnout.Tak. 44. Má periferní měřitel, periferní tap.Můžeš prosím ještě jednou zmáčknout na ten tlak?
2026-01-14 14:55:40;Tak, má periferní nejverifernitát. Můžeš prosím ještě jednou zpáčkat na ten tlak?;;
2026-01-14 14:55:47;Můžeš prosím ještě jednou odvážet na ten dvar? Ne, to tady. Tak tady. Já ještě tady.;;
2026-01-14 14:55:56;Můžu to přemýšlet? No, když tak něco cítím. Dobře, zahájíme resuscitaci, protože tlak máme. Pojď, pojď.;{'polozky': {'KPR (Resuscitace)': 'Zahájeno'}};Můžu ještě jednou periferně. Cejtím? Zahájuji resuscitaci. Tlak má centrálně? Ne, piči.
2026-01-14 14:56:04;Ne, piči. Dobře, potřebuju monitorace, abych vám zjistila, jak jsme na tom. Zase jsme na lepení. Ehm, co máme? Dobře, tak se na bohno.;;Dobře, potřebujem emonitoriace, abychom zjistili, jak jsme an tom a zároveň
2026-01-14 14:56:12;Dobře, teď chceme buchnout. Chceme zjistit, jaký má reprůz. Teď máme daleko na reprůdy. Jo, máme daleko. Můžeme tři květ buchnout teďka.;;Nový Dobře, tak chceme buchnout. To je způsob, že nám...Chceme zjistit, jestli, jaký má rytmus.Teď máme nalépené elektrody. Jo, máme.Můžeme třikrát bouchnout teďka.OK, dobře, tak jo, pojď.Budeme podávat počkej počkej.
2026-01-14 14:56:20;Můžeme tři ptá dvou. OK, dobře, tak jo. Budeme podávat mačky. Chceme podat, Libo, teda... 200. 250.;;Chceme podat výbory teda... kolik? 200? 250?Všechno udělej. Mám to nastavit?Tak jak je? Je to opravdový defibrilátor.
