Čas;Přepsaný text;Extrahovaná data
2026-01-14 15:34:15;Dobrý den, pane. Dobrý den.;
2026-01-14 15:34:23;Dobrý den, halo, slyšíte nás? Pane? Halo, halo, slyšíte nás? Reaguju.;
2026-01-14 15:34:32;Reaguje? Bolí vás něco? Co se toho říká? Tak ty, co nemějí;
2026-01-14 15:34:40;Tak teď se na něj dívám, vidím nějakou odřejinu. Nějakou pichy. Pát hnedičky. Dobře, tak.;{'polozky': {'Barva kůže': 'odřeny, pichy, hnědičky'}}
2026-01-14 15:34:48;Takže tak no.;
2026-01-14 15:34:56;Titulky vytvořil JohnyX.;
2026-01-14 15:35:04;Titulky vytvořil JohnyX.;
2026-01-14 15:35:12;Tady je můj témat. Tady je můj témat. Tady je můj témat.;
2026-01-14 15:35:20;Titulky vytvořil JohnyX.;
2026-01-14 15:35:29;Tě to dýchám. A dýchám symetricky.;{'polozky': {'Symetrie dýchání': 'Symetrické'}}
2026-01-14 15:35:37;A dýchá symetricky. Ok, tak dáme ten. Je tam... Je tady čitla na... Na saturaci.;{'polozky': {'Symetrie dýchání': 'Symetrické'}}
2026-01-14 15:35:45;Na saturaci. Mně to už je 20, ale... Nechůj za minutu.;{'polozky': {'SpO2': '20'}}
2026-01-14 15:35:53;Můžeme?;
2026-01-14 15:36:01;55 tůjů, už kubra de Cartier.;
2026-01-14 15:36:09;Sklípkový vyohrančený ozby.;
2026-01-14 15:36:17;Sklíkový biohrenčený odbyt. Kapilární návrh. Tři vteřiny. Tak dáváme kyslík, pustíme tak 8 litrů.;{'polozky': {'Kapilární návrat': '', 'Oxygenoterapie': '8 l/min'}}
2026-01-14 15:36:25;Máme tak 8 litrů. Tady se mě kouzace cítí? Necítíme. Jaký má tlak?;
2026-01-14 15:36:34;Tak natočím.;
2026-01-14 15:36:42;Pane, slyšíte nás?;
2026-01-14 15:36:50;Slyšíte nás? Haló? Pane? Nízký. Nedotekovaný ten.;
2026-01-14 15:36:58;Tak zkusíme natočit ekváldy ještě. Já zjistím, že jim nejací.;
2026-01-14 15:37:06;Titulky vytvořil JohnyX.;
2026-01-14 15:37:14;Zajistujeme dva živý vstupy.;
2026-01-14 15:37:22;...;
2026-01-14 15:37:30;Tak jo, ještě budu hlát. Tak, sahám na hlavu, nebolí vás něco?;
2026-01-14 15:37:39;Tak, sáhám na hlavu, nebolí vás něco? Slyšíte nás pane? Já slyším.;
2026-01-14 15:37:47;Konec.;
2026-01-14 15:37:55;Já bych chtěla podat něco do židáho. Já teď je půjdu.;
2026-01-14 15:38:03;Pane, halo, slyšíte nás?;
2026-01-14 15:38:11;Zatím se předáváme do toho kyslíku. Tak dáme 10 litrů ten kyslík. Ahoj, máte vrátka. Trošku vyšeho kyslíku. Tenhle kyslík dáme do tenhle kyslíku.;{'polozky': {'Oxygenoterapie': '10 l'}}
2026-01-14 15:38:19;A západně a co dáváme? Fydiologické rozkaz. Já jmenuji to bolus.;
2026-01-14 15:38:27;Můžeme říct bolus a potom dáme kapat? Taky. A když jíme to vláště, dále to... Díváme to ruce izokorický.;
2026-01-14 15:38:35;... a měřím teplotu... ... 36 a... ... 63;{'polozky': {'Tělesná teplota (TT)': '36'}}
